disease,symptoms
cirrhosis,"abdominal distention,vomiting blood,blood in stool,upper abdominal pain"
atrophic vaginitis,"painful urination,pain during intercourse,frequent urination,vaginal itching,suprapubic pain,involuntary urination"
peritonitis,"vomiting,sharp abdominal pain,groin mass,back pain"
acute pancreatitis,"diarrhea,vomiting,upper abdominal pain,sharp chest pain,abusing alcohol"
acute pancreatitis,"nausea,back pain,side pain"
fibromyalgia,"hip pain,muscle pain,sharp chest pain,back pain,headache,neck pain,arm pain"
fibromyalgia,"arm pain,leg pain,low back pain,ache all over,sharp chest pain"
chronic pain disorder,"low back pain,headache,hip pain,leg pain,pelvic pain"
fibromyalgia,"low back pain,leg pain,headache"
chronic pain disorder,"headache,back pain,low back pain,hip pain"
chronic pain disorder,"leg pain,headache,hip pain,knee pain,pelvic pain,low back pain,ache all over"
choledocholithiasis,"nausea,chills,side pain,jaundice,upper abdominal pain"
sick sinus syndrome,"shortness of breath,irregular heartbeat,decreased heart rate"
problem during pregnancy,"problems during pregnancy,cramps and spasms"
cirrhosis,"vomiting blood,peripheral edema,sharp abdominal pain,regurgitation,regurgitation.1,upper abdominal pain"
problem during pregnancy,"back pain,sharp abdominal pain,vomiting,spotting or bleeding during pregnancy,lower abdominal pain,nausea"
vaginitis,"painful urination,vaginal redness,pelvic pain,pain during intercourse,pain during pregnancy,lower abdominal pain,sharp abdominal pain,vaginal pain"
chronic pain disorder,"ache all over,pelvic pain,back pain,headache,leg pain,low back pain"
asthma,"shortness of breath,coughing up sputum,chest tightness,coryza,nasal congestion,allergic reaction,sharp chest pain,cough"
pyelonephritis,"lower abdominal pain,vomiting,side pain,blood in urine,back pain,suprapubic pain,frequent urination,painful urination,sharp abdominal pain,nausea"
problem during pregnancy,"sharp abdominal pain,problems during pregnancy,pelvic pain,pain during pregnancy"
thrombophlebitis,"skin swelling,foot or toe pain,ache all over,skin on leg or foot looks infected"
atrophic vaginitis,"vaginal discharge,frequent urination,involuntary urination,suprapubic pain,blood in urine,pain during intercourse"
panic disorder,"breathing fast,depression,anxiety and nervousness,depressive or psychotic symptoms,insomnia,chest tightness"
subdural hemorrhage,"vomiting,irritable infant,depressive or psychotic symptoms,facial pain"
cirrhosis,"shortness of breath,vomiting blood,abdominal distention,upper abdominal pain,peripheral edema,sharp abdominal pain,regurgitation.1,regurgitation"
glaucoma,"pain in eye,foreign body sensation in eye,itchiness of eye,itchy eyelid,symptoms of eye"
acute pancreatitis,"lower body pain,abusing alcohol,nausea,vomiting,sharp abdominal pain,back pain"
atelectasis,"headache,dizziness"
pyelonephritis,"vomiting,frequent urination,blood in urine,low back pain"
choledocholithiasis,"upper abdominal pain,decreased appetite,sharp chest pain,vomiting,jaundice"
thoracic aortic aneurysm,"chest tightness,shortness of breath"
thoracic aortic aneurysm,"chest tightness,jaundice"
eye alignment disorder,"lack of growth,double vision,eye deviation,diminished vision,pain in eye"
panic disorder,"irregular heartbeat,dizziness,breathing fast,abnormal involuntary movements,anxiety and nervousness,chest tightness"
asthma,"chest tightness,sharp chest pain,coughing up sputum,shortness of breath,difficulty breathing"
chronic pain disorder,"ache all over,knee pain,pelvic pain,headache,hip pain"
acute pancreatitis,"sharp chest pain,upper abdominal pain,burning abdominal pain,hemoptysis,vomiting,sharp abdominal pain"
chronic pain disorder,"low back pain,pelvic pain,ache all over,back pain"
thrombophlebitis,"ache all over,arm pain,leg swelling,skin swelling"
eating disorder,"weight gain,insomnia,abusing alcohol,difficulty eating,acne or pimples"
vaginitis,"vaginal itching,pelvic pain,vaginal redness,vaginal discharge,lower abdominal pain,pain during intercourse"
vaginitis,"painful urination,vaginal redness,suprapubic pain,pain during pregnancy,sharp abdominal pain"
transient ischemic attack,"paresthesia,focal weakness,dizziness,weakness"
acute pancreatitis,"upper abdominal pain,abusing alcohol,side pain,diarrhea,sharp chest pain"
choledocholithiasis,"jaundice,side pain"
chronic pain disorder,"headache,sharp abdominal pain,hip pain,knee pain,low back pain,pelvic pain,back pain,leg pain"
tinnitus of unknown cause,"ear pain,itchy ear(s),plugged feeling in ear,dizziness,diminished hearing"
acute pancreatitis,"upper abdominal pain,side pain,diarrhea,burning abdominal pain"
peritonitis,"side pain,groin mass,vomiting,back pain"
headache after lumbar puncture,"nausea,vomiting,painful urination,headache,dizziness,low back pain"
panic disorder,"anxiety and nervousness,abnormal involuntary movements,palpitations,depression,chest tightness"
diabetic retinopathy,"lacrimation,diminished vision,abnormal movement of eyelid,itchiness of eye"
eye alignment disorder,"diminished vision,eye deviation,pain in eye,double vision,irregular appearing scalp,lack of growth"
headache after lumbar puncture,"dizziness,nausea,neck pain,low back pain,vomiting"
salivary gland disorder,"sore throat,swollen lymph nodes,cough,throat feels tight"
vaginitis,"vaginal redness,pain during intercourse,painful urination,pain during pregnancy,vaginal itching"
vaginitis,"suprapubic pain,painful urination,pain during intercourse,pain during pregnancy,sharp abdominal pain,vaginal redness"
problem during pregnancy,"pain during pregnancy,problems during pregnancy,nausea,vomiting,cramps and spasms,lower abdominal pain,pelvic pain"
sick sinus syndrome,"decreased heart rate,weakness,increased heart rate,palpitations"
fibromyalgia,"arm pain,back pain,hip pain,muscle pain,low back pain,headache"
glaucoma,"diminished vision,eye redness,lacrimation,symptoms of eye,itchy eyelid,foreign body sensation in eye"
panic disorder,"anxiety and nervousness,dizziness,depressive or psychotic symptoms,insomnia,abnormal involuntary movements,irregular heartbeat,chest tightness"
acute pancreatitis,"vomiting,burning abdominal pain,hemoptysis,abusing alcohol,back pain"
pyelonephritis,"vomiting,frequent urination,back pain,nausea"
choledocholithiasis,"jaundice,sharp abdominal pain,decreased appetite,sharp chest pain,nausea"
glaucoma,"foreign body sensation in eye,spots or clouds in vision,diminished vision"
eating disorder,"difficulty eating,insomnia,decreased appetite,depression,acne or pimples"
pyelonephritis,"painful urination,blood in urine,vomiting,low back pain,side pain,back pain,frequent urination"
peritonitis,"back pain,shortness of breath,side pain,vomiting"
headache after lumbar puncture,"neck pain,headache,dizziness,vomiting,painful urination"
panic disorder,"irregular heartbeat,insomnia,dizziness,depressive or psychotic symptoms,palpitations,anxiety and nervousness,abnormal involuntary movements"
thrombophlebitis,"foot or toe pain,skin swelling,leg swelling,leg pain,ache all over,arm pain"
eye alignment disorder,"symptoms of eye,irregular appearing scalp,pain in eye,eye moves abnormally,double vision,cross-eyed,diminished vision"
eating disorder,"acne or pimples,abusing alcohol,insomnia,decreased appetite"
pyelonephritis,"frequent urination,low back pain,vomiting,back pain,lower abdominal pain,nausea,sharp abdominal pain"
vaginitis,"lower abdominal pain,vaginal redness,painful urination,sharp abdominal pain,pelvic pain"
chronic pain disorder,"back pain,leg pain,ache all over,pelvic pain,headache,sharp abdominal pain,low back pain"
transient ischemic attack,"dizziness,difficulty speaking,headache,loss of sensation,depressive or psychotic symptoms,focal weakness,paresthesia"
diabetic retinopathy,"spots or clouds in vision,foreign body sensation in eye,pain in eye,abnormal movement of eyelid"
peritonitis,"intermenstrual bleeding,shortness of breath,vomiting,sharp abdominal pain"
asthma,"shortness of breath,cough,difficulty breathing"
thrombophlebitis,"arm pain,ache all over,skin swelling,arm swelling,leg swelling"
panic disorder,"shortness of breath,chest tightness,dizziness,depression,palpitations"
problem during pregnancy,"vomiting,spotting or bleeding during pregnancy,nausea,back pain,sharp abdominal pain"
problem during pregnancy,"cramps and spasms,lower abdominal pain,headache,problems during pregnancy,sharp abdominal pain,vomiting"
peritonitis,"intermenstrual bleeding,side pain,shortness of breath"
ischemia of the bowel,"vomiting,retention of urine,blood in stool,nausea,sharp abdominal pain,burning abdominal pain"
acute pancreatitis,"diarrhea,abusing alcohol,vomiting,burning abdominal pain,lower body pain"
cirrhosis,"vomiting blood,upper abdominal pain,blood in stool"
acute pancreatitis,"diarrhea,nausea,abusing alcohol,side pain,burning abdominal pain,vomiting,lower body pain,sharp chest pain"
glaucoma,"eye redness,spots or clouds in vision,itchy eyelid,foreign body sensation in eye,itchiness of eye"
fracture of the hand,"hand or finger pain,arm pain,wrist stiffness or tightness,arm stiffness or tightness"
eating disorder,"abusing alcohol,acne or pimples,insomnia,depressive or psychotic symptoms,weight gain"
thrombophlebitis,"ache all over,lymphedema,skin swelling,arm pain,skin on leg or foot looks infected"
thoracic aortic aneurysm,sharp chest pain
vaginitis,"vaginal pain,sharp abdominal pain,vaginal discharge,suprapubic pain,lower abdominal pain,pain during pregnancy,vaginal redness"
problem during pregnancy,"back pain,headache,pain during pregnancy,pelvic pain,cramps and spasms,nausea,vomiting"
transient ischemic attack,"depressive or psychotic symptoms,symptoms of the face,loss of sensation,focal weakness,disturbance of memory,dizziness"
tinnitus of unknown cause,"plugged feeling in ear,ear pain,dizziness,hoarse voice,diminished hearing,ringing in ear"
vaginitis,"pain during intercourse,painful urination,pelvic pain,vaginal itching"
headache after lumbar puncture,"neck pain,painful urination,nausea"
pyelonephritis,"sharp abdominal pain,lower abdominal pain,back pain,painful urination,nausea,low back pain,side pain,suprapubic pain"
thrombophlebitis,"skin swelling,ache all over,arm pain,leg swelling,arm swelling,skin on leg or foot looks infected"
chronic pain disorder,"hip pain,leg pain,knee pain,low back pain,sharp abdominal pain,pelvic pain,ache all over"
eye alignment disorder,"eye deviation,cross-eyed,double vision,eye moves abnormally"
poisoning due to ethylene glycol,"depression,depressive or psychotic symptoms"
problem during pregnancy,"headache,sharp abdominal pain,nausea,back pain,pain during pregnancy,problems during pregnancy"
cirrhosis,"peripheral edema,upper abdominal pain"
chronic pain disorder,"pelvic pain,leg pain,headache,shoulder pain,sharp abdominal pain,low back pain,knee pain"
vaginitis,"pain during pregnancy,pain during intercourse,vaginal itching,vaginal pain,sharp abdominal pain,vaginal discharge"
rotator cuff injury,"shoulder stiffness or tightness,shoulder weakness,arm pain"
transient ischemic attack,"depressive or psychotic symptoms,dizziness,difficulty speaking,loss of sensation,weakness"
transient ischemic attack,"loss of sensation,focal weakness,headache"
asthma,"difficulty breathing,shortness of breath,nasal congestion,wheezing,sharp chest pain,allergic reaction"
transient ischemic attack,"depressive or psychotic symptoms,disturbance of memory,weakness,symptoms of the face,dizziness"
glaucoma,"eye redness,itchiness of eye,lacrimation,foreign body sensation in eye"
problem during pregnancy,"problems during pregnancy,lower abdominal pain,nausea,headache,pain during pregnancy"
acute pancreatitis,"nausea,vomiting,back pain,sharp abdominal pain,abusing alcohol,hemoptysis,lower body pain"
transient ischemic attack,"disturbance of memory,focal weakness,dizziness,loss of sensation,weakness"
tinnitus of unknown cause,"ear pain,itchy ear(s),headache,hoarse voice,plugged feeling in ear"
acute pancreatitis,"burning abdominal pain,abusing alcohol,sharp chest pain,side pain,nausea,diarrhea,vomiting"
panic disorder,"breathing fast,anxiety and nervousness,dizziness,depressive or psychotic symptoms,insomnia"
pyelonephritis,"side pain,back pain,sharp abdominal pain,blood in urine"
diabetic retinopathy,"foreign body sensation in eye,abnormal movement of eyelid,diminished vision"
choledocholithiasis,"upper abdominal pain,side pain,chills,decreased appetite,vomiting,jaundice"
acute pancreatitis,"back pain,sharp chest pain,abusing alcohol,lower body pain,diarrhea,burning abdominal pain,hemoptysis"
acute pancreatitis,"diarrhea,burning abdominal pain,vomiting,sharp abdominal pain,lower body pain,sharp chest pain,abusing alcohol"
sick sinus syndrome,"shortness of breath,fainting,weakness,increased heart rate,palpitations"
cirrhosis,"abdominal distention,regurgitation.1,blood in stool,vomiting blood,regurgitation"
asthma,"shortness of breath,coughing up sputum,allergic reaction,chest tightness"
panic disorder,"depressive or psychotic symptoms,insomnia,irregular heartbeat,shortness of breath"
eating disorder,"depression,abusing alcohol,anxiety and nervousness,weight gain"
asthma,"cough,shortness of breath,allergic reaction,nasal congestion,difficulty breathing,chest tightness,fever,coryza"
transient ischemic attack,"focal weakness,depressive or psychotic symptoms,paresthesia,dizziness"
transient ischemic attack,"depressive or psychotic symptoms,difficulty speaking,headache,loss of sensation,disturbance of memory,symptoms of the face"
atrophic vaginitis,"blood in urine,vaginal itching,pain during intercourse,frequent urination,suprapubic pain,involuntary urination"
